run,apogee_m,impact_x_m,impact_y_m,wind_scale,thrust_scale,dry_mass_scale,aero_scale,sensor_bias_scale,thrust_misalignment_deg,cg_offset_m,impact_valid
2848,2000.13,6632.71,-4655.97,0.860384,0.996381,1.0177,0.988051,1.14528,0.233372,0.00153683,1
2849,550.401,-1305.02,1436.98,0.911156,0.988241,1.01001,0.968099,0.95819,-0.126677,0.0108698,1
2850,747.236,-1711.17,1954.04,1.05557,1.00658,0.993124,0.953709,0.922473,0.120485,-0.00883259,1
2851,298.653,769.059,-730.389,1.07573,0.994426,0.996747,0.975318,1.03362,-0.194545,-0.0135902,1
2852,1479.25,3894.27,-2967.97,1.47467,0.981297,0.991411,0.98148,1.08052,-0.140738,-0.00364066,1
2853,861.372,-1948.45,2270.84,0.864779,1.0351,0.984764,1.01441,0.545818,0.128275,-0.00745109,1
2854,6583.04,16280.4,-6445.33,0.833121,0.989156,1.00705,0.961227,1.01489,-0.0309576,-0.00279047,1
2855,156.73,395.421,-385.123,1.16313,1.01503,1.00489,1.00842,1.05085,-0.322928,-0.0158808,1
2856,497.079,-1172.44,1278.89,0.88506,0.994285,0.99644,1.0303,0.930568,0.208246,-0.00760817,1
2857,209.601,532.116,-513.529,0.909735,0.989713,1.01152,1.00089,0.969771,-0.252158,-0.014628,1
2858,215.962,563.835,-543.34,1.30287,1.00529,1.00588,0.995001,0.785492,0.329362,0.0108708,1
2859,701.44,1892.99,-1669.95,1.16254,1.01978,0.992258,0.957398,1.19353,0.0677922,0.0167959,1
2860,6637.71,16607.7,-6070.77,0.457109,1.01941,0.996647,0.96459,1.0394,-0.0607931,-0.00143444,1
2861,5682.04,15907.9,-5339,1.18313,0.981877,1.01478,0.956364,0.932211,-0.0094556,-0.0115574,1
2862,8514.84,-7933.47,21118.2,1.08238,0.998833,0.983255,0.974348,1.02796,-0.086595,0.000828227,1
2863,6437.14,15786.6,-6043.86,1.15145,1.00981,1.01222,1.01427,0.925894,0.0422194,0.0020896,1
2864,863.43,-1949.51,2271.05,0.736886,1.01885,1.01124,0.973778,1.12264,-0.147436,0.00609021,1
2865,6924.06,-6843.83,19287.1,1.08706,1.00561,1.00653,0.983253,0.991441,0.0654722,-0.00191968,1
2866,285.763,-704.153,739.635,1.03366,0.99755,1.01007,1.01444,0.690839,-0.256281,0.0104421,1
